Item ID,Category,Brand,Price,Color,Size,Target Customer,Description
ITEM027,Sweater,Levi's,124.4,Brown,XL,College Student,A stylish brown sweater from Levi's suitable for college students.
ITEM028,Skirt,H&M,423.66,Green,XS,Executive,A stylish green skirt from H&M suitable for executives.
ITEM029,Dress,Zara,383.34,Black,M,College Student,A stylish black dress from Zara suitable for college students.
ITEM030,Shorts,Prada,478.66,Brown,XS,Executive,A stylish brown shorts from Prada suitable for executives.
ITEM031,Skirt,Uniqlo,306.73,Blue,M,Executive,A stylish blue skirt from Uniqlo suitable for executives.
ITEM032,T-shirt,Puma,383.06,Gray,XXL,College Student,A stylish gray t-shirt from Puma suitable for college students.
ITEM033,Bag,Levi's,35.66,Blue,S,New Employee,A stylish blue bag from Levi's suitable for new employees.
ITEM034,Shoes,Adidas,135.28,Yellow,M,College Student,A stylish yellow shoes from Adidas suitable for college students.
ITEM035,Jeans,Levi's,88.65,Black,XL,Executive,A stylish black jeans from Levi's suitable for executives.
ITEM036,Dress,Puma,255.33,Black,XS,Executive,A stylish black dress from Puma suitable for executives.
ITEM037,Hat,H&M,163.65,Gray,XL,New Employee,A stylish gray hat from H&M suitable for new employees.
ITEM038,Sweater,Gucci,99.92,Red,XS,Executive,A stylish red sweater from Gucci suitable for executives.
ITEM039,Hat,H&M,447.06,Red,M,College Student,A stylish red hat from H&M suitable for college students.
ITEM040,Dress,Uniqlo,476.3,Yellow,XS,New Employee,A stylish yellow dress from Uniqlo suitable for new employees.
ITEM041,T-shirt,Nike,182.7,Purple,M,New Employee,A stylish purple t-shirt from Nike suitable for new employees.
ITEM042,Shorts,Gucci,228.45,Red,S,Executive,A stylish red shorts from Gucci suitable for executives.
ITEM043,Jeans,Uniqlo,62.71,Pink,XXL,New Employee,A stylish pink jeans from Uniqlo suitable for new employees.
ITEM044,Hat,Adidas,49.48,Brown,XXL,New Employee,A stylish brown hat from Adidas suitable for new employees.
ITEM045,Sweater,Gucci,496.01,Purple,XXL,New Employee,A stylish purple sweater from Gucci suitable for new employees.
ITEM046,Bag,Zara,331.3,Red,XXL,Executive,A stylish red bag from Zara suitable for executives.
ITEM047,Jeans,Adidas,208.74,Green,S,Executive,A stylish green jeans from Adidas suitable for executives.
ITEM048,Jeans,Adidas,250.22,Red,S,College Student,A stylish red jeans from Adidas suitable for college students.
ITEM049,Jacket,Zara,270.5,Brown,M,New Employee,A stylish brown jacket from Zara suitable for new employees.
ITEM050,Jacket,Gucci,269.19,Brown,XL,New Employee,A stylish brown jacket from Gucci suitable for new employees.
ITEM051,Bag,Nike,169.08,Gray,S,Executive,A stylish gray bag from Nike suitable for executives.
ITEM052,Jacket,Prada,461.4,Gray,XL,College Student,A stylish gray jacket from Prada suitable for college students.
ITEM053,Jacket,Zara,65.73,Black,XXL,Executive,A stylish black jacket from Zara suitable for executives.
ITEM054,Shorts,Reebok,358.15,Brown,S,College Student,A stylish brown shorts from Reebok suitable for college students.
ITEM055,Hat,Prada,224.95,White,L,College Student,A stylish white hat from Prada suitable for college students.
ITEM056,Shoes,Zara,499.28,Blue,XS,College Student,A stylish blue shoes from Zara suitable for college students.
ITEM057,Shoes,Levi's,483.09,Black,XS,College Student,A stylish black shoes from Levi's suitable for college students.
ITEM058,Jacket,Gucci,206.03,Green,M,College Student,A stylish green jacket from Gucci suitable for college students.
ITEM059,T-shirt,H&M,323.69,Red,XL,Executive,A stylish red t-shirt from H&M suitable for executives.
ITEM060,Hat,Uniqlo,39.96,Yellow,XXL,New Employee,A stylish yellow hat from Uniqlo suitable for new employees.
ITEM061,Sweater,Nike,392.42,Purple,M,New Employee,A stylish purple sweater from Nike suitable for new employees.
ITEM062,Hat,Prada,393.29,Green,XL,College Student,A stylish green hat from Prada suitable for college students.
ITEM063,Skirt,Gucci,495.69,Blue,XS,New Employee,A stylish blue skirt from Gucci suitable for new employees.
ITEM064,Sweater,Puma,103.17,Green,XS,New Employee,A stylish green sweater from Puma suitable for new employees.
ITEM065,Skirt,Prada,403.05,Gray,L,Executive,A stylish gray skirt from Prada suitable for executives.
ITEM066,Jeans,Uniqlo,365.24,White,L,College Student,A stylish white jeans from Uniqlo suitable for college students.
ITEM067,Sweater,Uniqlo,217.48,Blue,S,New Employee,A stylish blue sweater from Uniqlo suitable for new employees.
ITEM068,Shoes,Levi's,482.37,Brown,S,Executive,A stylish brown shoes from Levi's suitable for executives.
ITEM069,Jeans,Reebok,119.8,Green,XXL,College Student,A stylish green jeans from Reebok suitable for college students.
ITEM070,Dress,Nike,49.19,Pink,L,Executive,A stylish pink dress from Nike suitable for executives.
ITEM071,Hat,Prada,61.29,White,M,College Student,A stylish white hat from Prada suitable for college students.
ITEM072,Dress,Nike,34.29,White,M,Executive,A stylish white dress from Nike suitable for executives.
ITEM073,Shorts,Zara,58.51,Brown,XS,New Employee,A stylish brown shorts from Zara suitable for new employees.
ITEM074,Sweater,Prada,134.58,Yellow,L,Executive,A stylish yellow sweater from Prada suitable for executives.
ITEM075,Shoes,Puma,467.89,Pink,XS,Executive,A stylish pink shoes from Puma suitable for executives.
ITEM076,Dress,H&M,202.05,Black,S,New Employee,A stylish black dress from H&M suitable for new employees.
ITEM077,Jacket,Reebok,158.75,Yellow,S,Executive,A stylish yellow jacket from Reebok suitable for executives.
ITEM078,Bag,H&M,25.17,Brown,XXL,Executive,A stylish brown bag from H&M suitable for executives.
ITEM079,Dress,Reebok,418.37,Pink,S,New Employee,A stylish pink dress from Reebok suitable for new employees.
ITEM080,Skirt,Uniqlo,347.83,White,L,College Student,A stylish white skirt from Uniqlo suitable for college students.
ITEM081,Shorts,Puma,460.16,Yellow,XL,New Employee,A stylish yellow shorts from Puma suitable for new employees.
ITEM082,Shoes,Nike,255.37,Yellow,L,College Student,A stylish yellow shoes from Nike suitable for college students.
ITEM083,Bag,Levi's,232.58,Purple,S,College Student,A stylish purple bag from Levi's suitable for college students.
ITEM084,Bag,Puma,393.82,Green,XL,Executive,A stylish green bag from Puma suitable for executives.
ITEM085,Jeans,Gucci,191.87,Brown,S,New Employee,A stylish brown jeans from Gucci suitable for new employees.
ITEM086,Shorts,Adidas,316.35,Yellow,L,New Employee,A stylish yellow shorts from Adidas suitable for new employees.
ITEM087,Bag,H&M,164.55,Green,S,New Employee,A stylish green bag from H&M suitable for new employees.
ITEM088,Skirt,Prada,159.58,Yellow,XS,College Student,A stylish yellow skirt from Prada suitable for college students.
ITEM089,Shoes,Gucci,480.99,Pink,XL,New Employee,A stylish pink shoes from Gucci suitable for new employees.
ITEM090,Sweater,Uniqlo,496.48,Black,M,New Employee,A stylish black sweater from Uniqlo suitable for new employees.
ITEM091,Dress,Zara,371.67,Gray,S,College Student,A stylish gray dress from Zara suitable for college students.
ITEM092,Shoes,Adidas,120.72,Gray,S,College Student,A stylish gray shoes from Adidas suitable for college students.
ITEM093,Bag,Levi's,71.01,Blue,M,Executive,A stylish blue bag from Levi's suitable for executives.
ITEM094,Shorts,Adidas,99.49,Purple,L,Executive,A stylish purple shorts from Adidas suitable for executives.
ITEM095,Sweater,Uniqlo,96.66,Brown,XL,New Employee,A stylish brown sweater from Uniqlo suitable for new employees.
ITEM096,Shoes,Gucci,160.74,Brown,L,Executive,A stylish brown shoes from Gucci suitable for executives.
ITEM097,Skirt,Zara,132.24,Purple,XXL,New Employee,A stylish purple skirt from Zara suitable for new employees.
ITEM098,Jeans,Uniqlo,20.87,Black,XS,New Employee,A stylish black jeans from Uniqlo suitable for new employees.
ITEM099,Sweater,Gucci,498.25,Gray,XXL,New Employee,A stylish gray sweater from Gucci suitable for new employees.
ITEM100,Shoes,Nike,43.62,Red,M,Executive,A stylish red shoes from Nike suitable for executives.
